shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
shape_11,18.48459,73.85767,53
shape_11,18.4802,73.85732,54
shape_11,18.4802,73.85732,55
shape_11,18.47525,73.85638,56
shape_11,18.47525,73.85638,57
shape_11,18.46912,73.85768,58
shape_11,18.46912,73.85768,59
shape_11,18.46428,73.85825,60
shape_11,18.46428,73.85825,61
shape_11,18.45661,73.85861,62
shape_11,18.45661,73.85861,63
shape_11,18.4537,73.8586,64
shape_11,18.4537,73.8586,65
shape_11,18.4498,73.8583,66
shape_11,18.4498,73.8583,67
shape_11,18.4475,73.85854,68
shape_12,18.4475,73.85854,1
shape_12,18.44949,73.85817,2
shape_12,18.44949,73.85817,3
shape_12,18.45355,73.85836,4
shape_12,18.45355,73.85836,5
shape_12,18.45694,73.85833,6
shape_12,18.45694,73.85833,7
shape_12,18.46531,73.85797,8
shape_12,18.46531,73.85797,9
shape_12,18.46867,73.85757,10
shape_12,18.46867,73.85757,11
shape_12,18.47534,73.85616,12
shape_12,18.47534,73.85616,13
shape_12,18.48047,73.8571,14
shape_12,18.48047,73.8571,15
shape_12,18.48449,73.85747,16
shape_12,18.48449,73.85747,17
shape_12,18.49085,73.85757,18
shape_12,18.49085,73.85757,19
shape_12,18.49323,73.8577,20
shape_12,18.49323,73.8577,21
shape_12,18.49736,73.8579,22
shape_12,18.49736,73.8579,23
shape_12,18.49954,73.85812,24
shape_12,18.49954,73.85812,25
shape_12,18.5008,73.8565,26
shape_12,18.5008,73.8565,27
shape_12,18.50357,73.85363,28
shape_12,18.50357,73.85363,29
shape_12,18.5059,73.853,30
shape_12,18.5059,73.853,31
shape_12,18.5075,73.8509,32
shape_12,18.5075,73.8509,33
shape_12,18.50931,73.84791,34
shape_12,18.50931,73.84791,35
shape_12,18.51098,73.84557,36
shape_12,18.51098,73.84557,37
shape_12,18.51323,73.84096,38
shape_12,18.51323,73.84096,39
shape_12,18.5124,73.839,40
shape_12,18.5124,73.839,41
shape_12,18.51048,73.83504,42
shape_12,18.51048,73.83504,43
shape_12,18.50886,73.83193,44
shape_12,18.50886,73.83193,45
shape_12,18.5073,73.8289,46
shape_12,18.5073,73.8289,47
shape_12,18.50734,73.82335,48
shape_12,18.50734,73.82335,49
shape_12,18.5104,73.8196,50
shape_12,18.5104,73.8196,51
shape_12,18.5101,73.8171,52
shape_12,18.5101,73.8171,53
shape_12,18.5096,73.81458,54
shape_12,18.5096,73.81458,55
shape_12,18.50939,73.81275,56
shape_12,18.50939,73.81275,57
shape_12,18.50812,73.8094,58
